Coordinates;Coordinates.x1;Coordinates.x2;Coordinates.y1;Coordinates.y2;Coordinates.z1;Coordinates.z2;Coordinates.PositionUp;Coordinates.PositionDown;Coordinates.label;Coordinates.posUpDown;Coordinates.type;Coordinates.additionalInfos;Coordinates.View;Coordinates.ShowDimension
Klimor.WebApi.DXF.Structures.Coordinates;1100;2000;120;170;1875;3650;2;2;Down_Wall;"";Wall;"";Operational;True
Klimor.WebApi.DXF.Structures.Coordinates;1100;2000;120;170;1875;3650;2;2;Down_Wall;"";Wall;"";Back;True
Klimor.WebApi.DXF.Structures.Coordinates;1100;2000;120;170;1875;3650;2;2;Down_Wall;"";Wall;"";Down;True
Klimor.WebApi.DXF.Structures.Coordinates;1100;2000;120;170;1875;3650;2;2;Down_Wall;"";Wall;"";LeftFront;True
Klimor.WebApi.DXF.Structures.Coordinates;1100;2000;120;170;1875;3650;2;2;Down_Wall;"";Wall;"";RightFront;True
Klimor.WebApi.DXF.Structures.Coordinates;2050;2850;120;170;50;1825;3;3;Down_Wall;"";Wall;"";Operational;True
Klimor.WebApi.DXF.Structures.Coordinates;2050;2850;120;170;50;1825;3;3;Down_Wall;"";Wall;"";Back;True
Klimor.WebApi.DXF.Structures.Coordinates;2050;2850;120;170;50;1825;3;3;Down_Wall;"";Wall;"";Down;True
Klimor.WebApi.DXF.Structures.Coordinates;2050;2850;120;170;50;1825;3;3;Down_Wall;"";Wall;"";LeftFront;True
Klimor.WebApi.DXF.Structures.Coordinates;2050;2850;120;170;50;1825;3;3;Down_Wall;"";Wall;"";RightFront;True
Klimor.WebApi.DXF.Structures.Coordinates;2050;2850;120;170;1875;3650;3;3;Down_Wall;"";Wall;"";Operational;True
Klimor.WebApi.DXF.Structures.Coordinates;2050;2850;120;170;1875;3650;3;3;Down_Wall;"";Wall;"";Back;True
Klimor.WebApi.DXF.Structures.Coordinates;2050;2850;120;170;1875;3650;3;3;Down_Wall;"";Wall;"";Down;True
Klimor.WebApi.DXF.Structures.Coordinates;2050;2850;120;170;1875;3650;3;3;Down_Wall;"";Wall;"";LeftFront;True
Klimor.WebApi.DXF.Structures.Coordinates;2050;2850;120;170;1875;3650;3;3;Down_Wall;"";Wall;"";RightFront;True
Klimor.WebApi.DXF.Structures.Coordinates;50;1450;2070;2120;50;1250;1;1;Up;"";Wall;"";Operational;True
Klimor.WebApi.DXF.Structures.Coordinates;50;1450;2070;2120;50;1250;1;1;Up;"";Wall;"";Back;True
Klimor.WebApi.DXF.Structures.Coordinates;50;1450;2070;2120;50;1250;1;1;Up;"";Wall;"";Up;True
Klimor.WebApi.DXF.Structures.Coordinates;50;1450;2070;2120;50;1250;1;1;Up;"";Wall;"";LeftFront;True
Klimor.WebApi.DXF.Structures.Coordinates;50;1450;2070;2120;50;1250;1;1;Up;"";Wall;"";RightFront;True
Klimor.WebApi.DXF.Structures.Coordinates;50;1450;2070;2120;1300;2400;1;1;Up;"";Wall;"";Operational;True
Klimor.WebApi.DXF.Structures.Coordinates;50;1450;2070;2120;1300;2400;1;1;Up;"";Wall;"";Back;True
Klimor.WebApi.DXF.Structures.Coordinates;50;1450;2070;2120;1300;2400;1;1;Up;"";Wall;"";Up;True
Klimor.WebApi.DXF.Structures.Coordinates;50;1450;2070;2120;1300;2400;1;1;Up;"";Wall;"";LeftFront;True
Klimor.WebApi.DXF.Structures.Coordinates;50;1450;2070;2120;1300;2400;1;1;Up;"";Wall;"";RightFront;True
Klimor.WebApi.DXF.Structures.Coordinates;50;1450;2070;2120;2450;3650;1;1;Up;"";Wall;"";Operational;True
Klimor.WebApi.DXF.Structures.Coordinates;50;1450;2070;2120;2450;3650;1;1;Up;"";Wall;"";Back;True
Klimor.WebApi.DXF.Structures.Coordinates;50;1450;2070;2120;2450;3650;1;1;Up;"";Wall;"";Up;True
Klimor.WebApi.DXF.Structures.Coordinates;50;1450;2070;2120;2450;3650;1;1;Up;"";Wall;"";LeftFront;True
Klimor.WebApi.DXF.Structures.Coordinates;50;1450;2070;2120;2450;3650;1;1;Up;"";Wall;"";RightFront;True
Klimor.WebApi.DXF.Structures.Coordinates;1500;2850;2070;2120;50;1250;2;2;Up;"";Wall;"";Operational;True
Klimor.WebApi.DXF.Structures.Coordinates;1500;2850;2070;2120;50;1250;2;2;Up;"";Wall;"";Back;True
Klimor.WebApi.DXF.Structures.Coordinates;1500;2850;2070;2120;50;1250;2;2;Up;"";Wall;"";Up;True
Klimor.WebApi.DXF.Structures.Coordinates;1500;2850;2070;2120;50;1250;2;2;Up;"";Wall;"";LeftFront;True
Klimor.WebApi.DXF.Structures.Coordinates;1500;2850;2070;2120;50;1250;2;2;Up;"";Wall;"";RightFront;True
Klimor.WebApi.DXF.Structures.Coordinates;1500;2850;2070;2120;1300;2400;2;2;Up;"";Wall;"";Operational;True
Klimor.WebApi.DXF.Structures.Coordinates;1500;2850;2070;2120;1300;2400;2;2;Up;"";Wall;"";Back;True
Klimor.WebApi.DXF.Structures.Coordinates;1500;2850;2070;2120;1300;2400;2;2;Up;"";Wall;"";Up;True
Klimor.WebApi.DXF.Structures.Coordinates;1500;2850;2070;2120;1300;2400;2;2;Up;"";Wall;"";LeftFront;True
Klimor.WebApi.DXF.Structures.Coordinates;1500;2850;2070;2120;1300;2400;2;2;Up;"";Wall;"";RightFront;True
Klimor.WebApi.DXF.Structures.Coordinates;1500;2850;2070;2120;2450;3650;2;2;Up;"";Wall;"";Operational;True
Klimor.WebApi.DXF.Structures.Coordinates;1500;2850;2070;2120;2450;3650;2;2;Up;"";Wall;"";Back;True
Klimor.WebApi.DXF.Structures.Coordinates;1500;2850;2070;2120;2450;3650;2;2;Up;"";Wall;"";Up;True
Klimor.WebApi.DXF.Structures.Coordinates;1500;2850;2070;2120;2450;3650;2;2;Up;"";Wall;"";LeftFront;True
Klimor.WebApi.DXF.Structures.Coordinates;1500;2850;2070;2120;2450;3650;2;2;Up;"";Wall;"";RightFront;True
Klimor.WebApi.DXF.Structures.Coordinates;2950;3150;170;2070;0;50;1;1;Operational;"";Removable_2;"";Operational;True
Klimor.WebApi.DXF.Structures.Coordinates;3200;3600;170;2070;0;50;2;2;Operational;"";Removable_2;"";Operational;True
Klimor.WebApi.DXF.Structures.Coordinates;3650;4350;170;2070;0;50;3;3;Operational;"";Removable_2;"";Operational;True
Klimor.WebApi.DXF.Structures.Coordinates;2950;4350;170;1095;3650;3700;1;1;Back;"";Wall;"";Back;True
Klimor.WebApi.DXF.Structures.Coordinates;2950;4350;1145;2070;3650;3700;1;1;Back;"";Wall;"";Back;True
